A28102_at	GABRA3
X64072_s_at	ITGB2
X64177_f_at	MT1P2
X64229_at	DEK
X64330_at	ACLY
X64364_at	BSG
X64594_at	RHAG
X64707_at	RPL13
X64838_at	CLIP1
X65488_at	HNRNPU
X65550_at	MKI67
X65784_s_at	SPG7
X65965_s_at	SOD2
X66079_at	SPIB
X66087_at	MYBL1
X66141_at	MYL2
X66276_s_at	MYBPC1
X66358_at	CDKL1
X66360_at	PCTK2
X66362_at	PCTK3
X66363_at	PCTK1
X66397_at	TPR
X66401_cds1_at	PSMB9
X66436_at	GNL1
X66503_at	ADSS
X66785_at	DBT
X66899_at	EWSR1
X66945_at	FGFR1
X67235_s_at	HHEX
X67325_at	IFI27
X67337_at	CPSF6
X67683_at	KRT4
X67697_at	SPAG11A
X67698_at	NPC2
X67951_at	PRDX1
X68149_at	CXCR5
X68277_at	DUSP1
X68285_s_at	GK3P
X68486_at	ADORA2A
X68505_s_at	MEF2A
X68560_at	SP3
X68688_rna1_s_at	ZNF33B
X69090_at	MYOM1
X69111_at	ID3
X69141_at	FDFT1
X69391_at	RPL6
X69398_at	CD47
X69433_at	IDH2
X69550_at	ARHGDIA
X69636_at	HERC2P3
X69654_at	RPS26
X69819_at	ICAM3
X69908_rna1_at	ATP5G2
X69910_at	CKAP4
X70218_at	PPP4C
X70394_at	ZNF146
X70476_at	MRPS22
X70649_at	DDX1
X70683_at	SOX4
X70940_s_at	EEF1A2
X71125_at	QPCT
X71129_at	ETFB
X71428_at	FUS
X71490_at	ATP6V0D1
X71874_cds1_at	PSMB10
X71877_at	CTRL
X71973_at	GPX4
X72012_at	ENG
X72475_at	NTN3
X72727_at	HNRNPK
X72755_at	CXCL9
X72790_at	C11orf72
X72841_at	RBBP7
X72889_at	SMARCA2
X73113_at	MYBPC2
X73358_s_at	AES
X73460_at	RPL3
X73478_at	PPP2R4
X74008_at	PPP1CC
X74104_at	SSR2
X74262_at	RBBP4
X74295_at	ITGA7
X74301_s_at	No result found
X74330_at	PRIM1
X74331_at	PRIM2
X74496_at	PREP
X74570_at	ST3GAL4
X74614_at	ODF1
X74794_at	MCM4
X74795_at	MCM5
X74801_at	CCT3
X74874_rna1_s_at	POLR2A
X75042_at	REL
X75091_s_at	SET
X75252_at	PEBP1
X75304_at	GOLGB1
X75593_at	RAB13
X75861_at	No result found
X76013_at	QARS
X76029_at	NMU
X76040_at	AZIN1
X76057_at	MPI
X76059_at	RBMY1F
X76061_at	RBL2
X76223_s_at	MAL
X76228_at	ATP6V1E1
X76302_at	SNRNP27
X76534_at	GPNMB
X76648_at	GLRX
X76717_at	MT1X
X76942_s_at	GOLGA4
X77366_at	NFE2L1
X77383_at	CTSO
X77533_at	ACVR2B
X77548_at	NCOA4
X77584_at	TXN
X77588_s_at	ARD1A
X77744_at	ZNF160
X77794_at	CCNG1
X78136_at	PCBP2
X78565_at	TNC
X78627_at	TSN
X78817_at	ARHGAP4
X78925_at	ZNF267
X78933_at	ZNF345
X78992_at	ZFP36L2
X79066_at	ZFP36L1
X79067_at	ZFP36L1
X79200_at	SSX5
X79200_s_at	SSX2
X79201_at	SS18
X79234_at	RPL11
X79353_at	GDI1
X79439_at	NOTCH3
X79536_at	LOC728844
X79683_s_at	LAMB2
X79865_at	MRPL12
X79882_at	MVP
X79888_at	AUH
X80198_at	STARD3
X80199_at	CASC3
X80200_at	TRAF4
X80230_at	CDK9
X80497_at	PHKA2
X80507_at	YAP1
X80590_at	PHKG1
X80692_at	MAPK6
X80695_at	OXA1L
X80763_s_at	HTR2C
X80818_at	GRM4
X80822_at	RPL18A
X80909_at	NACA
X80910_at	PPP1CB
X81003_at	PPP1R11
X81198_at	ARCN1
X81625_at	ETF1
X81817_at	BCAP31
X81832_s_at	GIPR
X81895_at	LUZP2
X82018_at	ZBTB6
X82068_at	GRIA3
X82103_at	COPB1
X82125_at	ZNF239
X82153_at	CTSK
X82200_at	TRIM22
X82240_rna1_at	TCL1A
X82456_at	No result found
X82494_at	FBLN2
X83218_at	ATP5O
X83301_s_at	SMA4
X83416_s_at	PRNP
X83425_at	BCAM
X83441_at	LIG4
X83490_s_at	FAS
X83492_at	FAS
X83492_s_at	FAS
X83543_at	SHROOM2
X83572_at	ARSD
X83863_at	PTGER3
X83929_s_at	DSC3
X84373_at	NRIP1
X85116_rna1_s_at	STOM
X85372_at	SNRPF
X85373_at	SNRPG
X85545_at	PRKX
X85750_at	MMD
X85753_at	CDK8
X86012_at	H2AFB1
X86401_s_at	GATM
X86691_at	CHD4
X86693_at	SPARCL1
X86809_at	PEA15
X87176_at	HSD17B4
X87212_at	CTSC
X87613_at	BRD8
X87767_at	FCAR
X87838_at	CTNNB1
X87843_at	MNAT1
X87870_at	HNF4A
X89109_s_at	CORO1A
X89398_cds2_at	UNG
X89399_s_at	ARHGDIB
X89750_at	TGIF1
X89985_at	BCL7B
X89986_s_at	BIK
X90568_at	TTN
X90824_s_at	USF2
X90857_at	C16orf35
X90858_at	UPP1
X90872_at	TMED9
X90908_at	FABP6
X90976_s_at	RUNX1
X91247_at	TXNRD1
X91249_at	ABCG1
X91257_at	SARS
X91788_at	CLNS1A
X91809_at	RGS19
X91868_at	No result found
X91911_s_at	GLIPR1
X92098_at	TMED2
X92396_at	VAMP7
X92689_at	GALNT3
X92715_at	ZNF74
X92720_at	PCK2
X92744_at	DEFB1
X92814_at	PLA2G16
X92896_at	LAGE3
X93036_at	FXYD3
X93499_at	No result found
X93996_rna1_at	FOXO4
X94232_at	MAPRE2
X94563_xpt2_r_at	DBI
X94754_at	MARS
X94910_at	ERP29
X95073_at	TSNAX
X95152_rna1_at	BRCA2
X95190_at	ACOX2
X95191_at	SGCD
X95404_at	EFEMP2
X95425_s_at	EPHA5
X95592_at	C1D
X95632_s_at	ABI2
X95735_at	ZYX
X95876_at	CXCR3
X96381_rna1_at	ETV5
X96586_at	NSMAF
X96719_at	CLEC2B
X96969_at	SLC14A2
X97058_at	P2RY6
X97074_at	AP2S1
X97267_rna1_s_at	CORO1B
X97324_at	PLIN2
X97544_at	TIMM17A
X98001_at	RABGGTB
X98206_at	No result found
X98258_at	MPHOSPH9
X98260_at	DNAJC2
X98263_at	MPHOSPH6
X98296_at	USP9X
X98482_at	No result found
X98534_s_at	VASP
X98743_at	DDX18
X99050_rna1_at	No result found
X99076_rna1_at	NRGN
X99209_at	PRMT2
X99226_at	FANCA
X99374_s_at	ADAM2
X99584_at	SUMO3
X99585_at	SUMO2
X99656_at	SH3GL1
X99699_at	XAF1
X99728_at	NDUFV3
X99886_s_at	CCL8
X99920_at	S100A13
Y00062_at	PTPRC
Y00097_s_at	ANXA6
Y00264_at	APP
Y00281_at	RPN1
Y00282_at	RPN2
Y00285_s_at	IGF2R
Y00433_at	GPX1
Y00451_s_at	ALAS1
Y00486_rna1_at	APRT
Y00636_at	CD58
Y00705_at	SPINK1
Y00757_at	SCG5
Y00764_at	UQCRH
Y00787_s_at	IL8
Y00796_at	ITGAL
Y00971_at	PRPS2
Y07565_s_at	RIT2
Y07701_at	NPEPPS
Y07759_at	MYO5A
Y07847_at	RASL10A
Y08134_at	SMPDL3B
Y08302_at	No result found
Y08319_at	KIF2A
Y08374_rna1_at	CHI3L1
Y08612_at	NUP88
Y08614_at	XPO1
Y08682_rna1_s_at	CPT1B
Y08915_at	IGBP1
Y08999_at	ARPC1A
Y09267_at	FMO2
Y09858_at	SPIN2A
Y09912_rna1_at	TFAP2B
Y09980_rna4_at	HOXD3
Y10032_at	SGK1
Y10615_at	No result found
Y10659_at	IL13RA1
Y10807_s_at	PRMT1
Y10812_at	FBP2
Y11251_at	No result found
Y11681_at	MRPS12
Y12670_at	LEPROT
Y13618_at	USP9Y
Y13896_at	KCNJ15
Y14140_at	GNB3
Z00010_at	IGKV1D-13
Z11502_at	ANXA13
Z11559_at	ACO1
Z11697_at	CD83
Z11793_at	SEPP1
Z14000_at	RING1
Z14244_at	COX7B
Z14982_rna1_at	PSMB8
Z15115_at	TOP2B
Z17227_at	IL10RB
Z18956_at	SLC6A6
Z19554_s_at	VIM
Z19585_at	THBS4
Z20656_rna1_s_at	MYH6
Z21488_at	CNTN1
Z21507_at	EEF1D
Z21707_at	ZNF197
Z22548_at	PRDX2
Z22551_at	KTN1
Z23064_at	RBMX
Z23090_at	HSPB1
Z24680_at	LRRC32
Z24727_at	TPM1
Z25521_s_at	CD47
Z25749_rna1_at	RPS7
Z26491_s_at	COMT
Z26634_at	ANK2
Z26653_at	LAMA2
Z26876_at	RPL38
Z27113_at	POLR2F
Z28407_at	RPL8
Z29064_at	EPS15
Z29066_s_at	NEK2
Z29331_at	UBE2H
Z29505_at	PCBP1
Z29574_at	TNFRSF17
Z29678_at	MITF
Z30425_at	NR1I3
Z30426_at	CD69
Z31690_s_at	LIPA
Z32684_at	XK
Z34918_at	EIF4G3
Z35085_s_at	RB1CC1
Z35093_at	SURF1
Z35102_at	STK38
Z35227_at	RHOH
Z35278_at	RUNX3
Z35307_at	ECE1
Z35491_at	BAG1
Z36531_at	FGL2
Z36714_at	CCNF
Z37166_at	BAT1
Z37976_at	LTBP2
Z37986_at	EBP
Z38026_at	CAMP
Z46632_at	PDE4C
Z47038_s_at	MAP1A
Z47055_s_at	FDPS
Z47727_at	POLR2K
Z48042_at	CAPRIN1
Z48051_rna1_at	MOG
Z48054_at	PEX5
Z48475_at	GCKR
Z48501_s_at	PABPC1
Z48633_at	GUSBP1
Z48950_at	H3F3B
Z49099_at	No result found
Z49107_s_at	LGALS9
Z49148_s_at	RPL29
Z49194_at	POU2AF1
Z49254_at	MRPL23
Z49269_at	CCL15
Z49835_s_at	PDIA3
Z50022_at	PTTG1IP
Z50053_at	GUCY1A2
Z50115_s_at	THOP1
Z50194_at	PHLDA1
Z50749_at	PPP1R7
Z50781_at	No result found
Z50853_at	CLPP
Z56281_at	IRF3
Z68129_cds1_at	IDH3G
Z68193_at	OPN1MW2
Z69030_s_at	PPP2R5C
Z69043_s_at	SSR4
Z69881_at	ATP2A3
Z70222_at	UFM1
Z70759_at	WNT2B
Z72499_at	USP7
Z74615_at	COL1A1
Z74616_s_at	COL1A2
Z75330_at	STAG1
Z78289_at	No result found
Z78290_at	LOC153346
Z78291_at	No result found
Z80780_f_at	HIST1H2BE
Z83336_at	No result found
Z84497_s_at	BRD2
Z84721_cds2_at	HBA2
Z96810_at	SLC6A14
Z97054_xpt2_at	HUWE1
Z97074_at	RABEPK
