A28102_at	GABRA3
D87116_at	MAP2K3
D87119_at	TRIB2
D87120_at	FAM3C
D87258_at	HTRA1
D87432_at	SLC7A6
D87434_at	KIAA0247
D87437_at	SMG7
D87446_at	TMEM131
D87448_at	TOPBP1
D87450_at	WAPAL
D87454_at	KLHDC10
D87457_at	ELMO1
D87464_at	FIG4
D87465_at	SPOCK2
D87466_at	DCUN1D4
D87467_at	RAPGEF5
D87470_at	FAM168A
D87684_at	UBXN4
D87685_at	PHF3
D87735_at	No result found
D87743_at	SLC9A6
D87937_at	FUT1
D87953_at	NDRG1
D88422_at	CSTA
D88799_at	PCDHGB7
D89052_at	ATP6V0B
D89077_at	SLA
D89289_at	FUT8
D89667_at	PFDN5
D90070_s_at	PMAIP1
D90084_at	PDHA1
D90086_at	PDHB
D90209_at	ATF4
D90224_at	TNFSF4
HG1078-HT1078_at	No result found
HG110-HT110_s_at	No result found
HG1102-HT1102_at	No result found
HG1103-HT1103_at	No result found
HG1111-HT1111_at	No result found
HG1112-HT1112_at	No result found
HG1139-HT4910_at	No result found
HG1153-HT1153_at	No result found
HG1155-HT4822_at	No result found
HG1322-HT5143_s_at	No result found
HG1327-HT1327_s_at	No result found
HG1400-HT1400_s_at	No result found
HG1428-HT1428_s_at	No result found
HG1515-HT1515_f_at	No result found
HG1595-HT4788_s_at	No result found
HG1612-HT1612_at	No result found
HG1614-HT1614_at	No result found
HG1751-HT1768_at	No result found
HG1763-HT1780_s_at	No result found
HG1862-HT1897_at	No result found
HG1869-HT1904_at	No result found
HG1872-HT1907_at	No result found
HG1879-HT1919_at	No result found
HG1980-HT2023_at	No result found
HG2036-HT2090_at	No result found
HG2090-HT2152_s_at	No result found
HG2161-HT2231_at	No result found
HG2167-HT2237_at	No result found
HG2171-HT2241_r_at	No result found
HG2238-HT2321_s_at	No result found
HG2259-HT2348_s_at	No result found
HG2271-HT2367_at	No result found
HG2274-HT2370_at	No result found
HG2279-HT2375_at	No result found
HG2314-HT2410_at	No result found
HG2379-HT3996_s_at	No result found
HG2379-HT3997_s_at	No result found
HG2380-HT2476_s_at	No result found
HG2442-HT2538_at	No result found
HG2463-HT2559_at	No result found
HG2480-HT2576_at	No result found
HG2507-HT2603_at	No result found
HG2705-HT2801_s_at	No result found
HG2706-HT2802_at	No result found
HG2707-HT2803_at	No result found
HG2723-HT2819_at	No result found
HG274-HT274_s_at	No result found
HG2743-HT2845_at	No result found
HG2743-HT2846_s_at	No result found
HG2743-HT3926_s_at	No result found
HG2755-HT2862_at	No result found
HG2788-HT2896_at	No result found
HG2815-HT2931_at	No result found
HG2815-HT2931_s_at	No result found
HG2846-HT2983_at	No result found
HG2855-HT2995_at	No result found
HG2874-HT3018_at	No result found
HG2887-HT3031_at	No result found
HG2915-HT3059_f_at	No result found
HG2917-HT3061_f_at	No result found
HG2981-HT3125_s_at	No result found
HG2981-HT3127_s_at	No result found
HG2981-HT3938_s_at	No result found
HG2992-HT5186_at	No result found
HG3044-HT3742_s_at	No result found
HG3075-HT3236_s_at	No result found
HG3076-HT3238_s_at	No result found
HG3088-HT3263_at	No result found
HG311-HT311_at	No result found
HG3117-HT3293_at	No result found
HG3227-HT3404_at	No result found
HG3236-HT3413_f_at	No result found
HG33-HT33_at	No result found
HG3431-HT3616_s_at	No result found
HG3432-HT3621_at	No result found
HG3477-HT3670_at	No result found
HG3484-HT3678_s_at	No result found
HG3494-HT3688_at	No result found
HG3513-HT3707_at	No result found
HG3514-HT3708_at	No result found
HG3521-HT3715_at	No result found
HG3546-HT3744_s_at	No result found
HG3548-HT3749_at	No result found
HG3576-HT3779_f_at	No result found
HG3597-HT3800_f_at	No result found
HG3638-HT3849_s_at	No result found
HG371-HT26388_at	No result found
HG3730-HT4000_s_at	No result found
HG3731-HT4001_at	No result found
HG3731-HT4001_r_at	No result found
HG3748-HT4018_at	No result found
HG3790-HT4060_at	No result found
HG384-HT384_at	No result found
HG3872-HT4142_at	No result found
HG3884-HT4154_at	No result found
HG3925-HT4195_at	No result found
HG3928-HT4198_at	No result found
HG3934-HT4204_at	No result found
HG3945-HT4215_at	No result found
HG3991-HT4261_at	No result found
HG3991-HT4261_r_at	No result found
HG4018-HT4288_at	No result found
HG4036-HT4306_at	No result found
HG4052-HT4322_at	No result found
HG4063-HT4333_s_at	No result found
HG4069-HT4339_s_at	No result found
HG4073-HT4343_at	No result found
HG4074-HT4344_at	No result found
HG4126-HT4396_at	No result found
HG417-HT417_s_at	No result found
HG4243-HT4513_at	No result found
HG4263-HT4533_at	No result found
HG4264-HT4534_s_at	No result found
HG4272-HT4542_at	No result found
HG4297-HT4567_at	No result found
HG4312-HT4582_s_at	No result found
HG4319-HT4589_at	No result found
HG4322-HT4592_at	No result found
HG4334-HT4604_s_at	No result found
HG4390-HT4660_at	No result found
HG4480-HT4833_at	No result found
HG4518-HT4921_r_at	No result found
HG4541-HT4946_s_at	No result found
HG4542-HT4947_at	No result found
HG4557-HT4962_at	No result found
HG4557-HT4962_r_at	No result found
HG4582-HT4987_at	No result found
HG4662-HT5075_at	No result found
HG4716-HT5158_at	No result found
HG4724-HT5166_at	No result found
HG4747-HT5195_at	No result found
HG4755-HT5203_s_at	No result found
HG491-HT491_at	No result found
HG544-HT544_at	No result found
HG613-HT613_at	No result found
HG651-HT4201_at	No result found
HG658-HT658_f_at	No result found
HG662-HT662_at	No result found
HG688-HT688_f_at	No result found
HG821-HT821_at	No result found
HG884-HT884_s_at	No result found
HG908-HT908_at	No result found
HG919-HT919_at	No result found
HG987-HT987_at	No result found
HG998-HT998_s_at	No result found
J00073_at	ACTC1
J00105_s_at	No result found
J00124_at	KRT14
J00139_s_at	LOC1720
J00146_at	LOC1720
J00207_rna2_at	IFNA2
J00210_rna1_at	IFNA1
J00219_s_at	IFNG
J00277_at	HRAS
J00314_at	TUBB
J02611_at	APOD
J02621_s_at	HMGN1
J02645_at	EIF2S1
J02683_s_at	SLC25A5
J02783_at	P4HB
J02854_at	MYL9
J02874_at	FABP4
J02902_at	PPP2R1A
J02923_at	LCP1
J02963_at	ITGA2B
J02973_rna1_at	THBD
J03040_at	SPARC
J03069_rna1_at	No result found
J03077_s_at	PSAP
J03191_at	PFN1
J03260_s_at	GNAZ
J03263_s_at	LAMP1
J03459_at	LTA4H
J03473_at	PARP1
J03474_at	SAA1
J03507_at	C7
J03589_at	UBL4A
J03592_at	SLC25A6
J03600_at	ALOX5
J03626_rna1_s_at	UMPS
J03764_at	SERPINE1
J03779_at	MME
J03801_f_at	LYZ
J03824_at	UROS
J03827_at	YBX1
J03909_at	IFI30
J03910_rna1_at	MT1G
J03934_s_at	NQO1
J04027_at	ATP2B1
